% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
2502	1	1	1	0	28	2292	0	1	1
2505	1	1	1	0	28	2292	0	1	1
2507	1	1	1	0	28	2292	0	1	1
2509	1	1	1	0	28	2292	0	1	1
2512	1	1	1	0	28	2292	0	1	1
2514	1	1	1	0	28	2292	0	1	1
2516	1	1	1	0	28	2292	0	1	1
2519	1	1	1	0	28	2292	0	1	1
2521	1	1	1	0	28	2292	0	1	1
2523	1	1	1	0	28	2292	0	1	1
2525	1	1	1	0	28	2292	0	1	1
2528	1	1	1	0	28	2292	0	1	1
2529	1	1	1	0	28	2292	0	1	1
2532	1	1	1	0	28	2292	0	1	1
2535	1	1	1	0	28	2292	0	1	1
2536	1	1	1	0	28	2292	0	1	1
2539	1	1	1	0	28	2292	0	1	1
2541	1	1	1	0	28	2292	0	1	1
2574	1	1	1	0	28	2292	0	1	1
2575	1	1	1	0	28	2292	0	1	1
2577	1	1	1	0	28	2292	0	1	1
2581	1	1	1	0	28	2292	0	1	1
2584	1	1	1	0	28	2292	0	1	1
2586	1	1	1	0	28	2292	0	1	1
2588	1	1	1	0	28	2292	0	1	1
2590	1	1	1	0	28	2292	0	1	1
2592	1	1	1	0	28	2292	0	1	1
2594	1	1	1	0	28	2292	0	1	1
2596	1	1	1	0	28	2292	0	1	1
2598	1	1	1	0	28	2292	0	1	1
2600	1	1	1	0	28	2292	0	1	1
2603	1	1	1	0	28	2292	0	1	1
2605	1	1	1	0	28	2292	0	1	1
2607	1	1	1	0	28	2292	0	1	1
2610	1	1	1	0	28	2292	0	1	1
2612	1	1	1	0	28	2292	0	1	1
2614	1	1	1	0	28	2292	0	1	1
2615	1	1	1	0	28	2292	0	1	1
2617	1	1	1	0	28	2292	0	1	1
2619	1	1	1	0	28	2292	0	1	1
2621	1	1	1	0	28	2292	0	1	1
2625	1	1	1	0	28	2292	0	1	1
2626	1	1	1	0	28	2292	0	1	1
2628	1	1	1	0	28	2292	0	1	1
2631	1	1	1	0	28	2292	0	1	1
2647	1	1	1	0	28	2292	0	1	1
2651	1	1	1	0	28	2292	0	1	1
2652	1	1	1	0	28	2292	0	1	1
2654	1	1	1	0	28	2292	0	1	1
2657	1	1	1	0	28	2292	0	1	1
2659	1	1	1	0	28	2292	0	1	1
2661	1	1	1	0	28	2292	0	1	1
2664	1	1	1	0	28	2292	0	1	1
2666	1	1	1	0	28	2292	0	1	1
2668	1	1	1	0	28	2292	0	1	1
2671	1	1	1	0	28	2292	0	1	1
2673	1	1	1	0	28	2292	0	1	1
2675	1	1	1	0	28	2292	0	1	1
2678	1	1	1	0	28	2292	0	1	1
2680	1	1	1	0	28	2292	0	1	1
2682	1	1	1	0	28	2292	0	1	1
2686	1	1	1	0	28	2292	0	1	1
2688	1	1	1	0	28	2292	0	1	1
2689	1	1	1	0	28	2292	0	1	1
2692	1	1	1	0	28	2292	0	1	1
2694	1	1	1	0	28	2292	0	1	1
2696	1	1	1	0	28	2292	0	1	1
2698	1	1	1	0	28	2292	0	1	1
2700	1	1	1	0	28	2292	0	1	1
2703	1	1	1	0	28	2292	0	1	1
2704	1	1	1	0	28	2292	0	1	1
2705	1	1	1	0	28	2292	0	1	1
2707	1	1	1	0	28	2292	0	1	1
2709	1	1	1	0	28	2292	0	1	1
2711	1	1	1	0	28	2292	0	1	1
2712	1	1	1	0	28	2292	0	1	1
2714	1	1	1	0	28	2292	0	1	1
2716	1	1	1	0	28	2292	0	1	1
2719	1	1	1	0	28	2292	0	1	1
2721	1	1	1	0	28	2292	0	1	1
2725	1	1	1	0	28	2292	0	1	1
2726	1	1	1	0	28	2292	0	1	1
2728	1	1	1	0	28	2292	0	1	1
2731	1	1	1	0	28	2292	0	1	1
2733	1	1	1	0	28	2292	0	1	1
2735	1	1	1	0	28	2292	0	1	1
2737	1	1	1	0	28	2292	0	1	1
2740	1	1	1	0	28	2292	0	1	1
2742	1	1	1	0	28	2292	0	1	1
2744	1	1	1	0	28	2292	0	1	1
2746	1	1	1	0	28	2292	0	1	1
2748	1	1	1	0	28	2292	0	1	1
2751	1	1	1	0	28	2292	0	1	1
2752	1	1	1	0	28	2292	0	1	1
2754	1	1	1	0	28	2292	0	1	1
2756	1	1	1	0	28	2292	0	1	1
2758	1	1	1	0	28	2292	0	1	1
2760	1	1	1	0	28	2292	0	1	1
2762	1	1	1	0	28	2292	0	1	1
2765	1	1	1	0	28	2292	0	1	1
2767	1	1	1	0	28	2292	0	1	1
2769	1	1	1	0	28	2292	0	1	1
2772	1	1	1	0	28	2292	0	1	1
2774	1	1	1	0	28	2292	0	1	1
2776	1	1	1	0	28	2292	0	1	1
2779	1	1	1	0	28	2292	0	1	1
2781	1	1	1	0	28	2292	0	1	1
2785	1	1	1	0	28	2292	0	1	1
2787	1	1	1	0	28	2292	0	1	1
2788	1	1	1	0	28	2292	0	1	1
2791	1	1	1	0	28	2292	0	1	1
2793	1	1	1	0	28	2292	0	1	1
2795	1	1	1	0	28	2292	0	1	1
2797	1	1	1	0	28	2292	0	1	1
2799	1	1	1	0	28	2292	0	1	1
2801	1	1	1	0	28	2292	0	1	1
2804	1	1	1	0	28	2292	0	1	1
2806	1	1	1	0	28	2292	0	1	1
2808	1	1	1	0	28	2292	0	1	1
2811	1	1	1	0	28	2292	0	1	1
2813	1	1	1	0	28	2292	0	1	1
2814	1	1	1	0	28	2292	0	1	1
2816	1	1	1	0	28	2292	0	1	1
2818	1	1	1	0	28	2292	0	1	1
2820	1	1	1	0	28	2292	0	1	1
2822	1	1	1	0	28	2292	0	1	1
2825	1	1	1	0	28	2292	0	1	1
2827	1	1	1	0	28	2292	0	1	1
2829	1	1	1	0	28	2292	0	1	1
2832	1	1	1	0	28	2292	0	1	1
2834	1	1	1	0	28	2292	0	1	1
2836	1	1	1	0	28	2292	0	1	1
2838	1	1	1	0	28	2292	0	1	1
2841	1	1	1	0	28	2292	0	1	1
2843	1	1	1	0	28	2292	0	1	1
2845	1	1	1	0	28	2292	0	1	1
2847	1	1	1	0	28	2292	0	1	1
2849	1	1	1	0	28	2292	0	1	1
2851	1	1	1	0	28	2292	0	1	1
2853	1	1	1	0	28	2292	0	1	1
2855	1	1	1	0	28	2292	0	1	1
2857	1	1	1	0	28	2292	0	1	1
